latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.216404;4.396989;201401150813+0100;63228
51.21632;4.3941555;201401150819+0100;29968538
51.21426;4.411585;201401151659+0100;8691115
51.21426;4.4115996;201401151929+0100;29835415
51.21425;4.4116106;201401160350+0100;20873022
51.193367;4.41042;201401160955+0100;3358247
51.213673;4.4051414;201401161104+0100;99711
51.21631;4.3940935;201401161114+0100;7559932
51.212738;4.392744;201401161325+0100;369387
51.21632;4.394155;201401161338+0100;4634058
51.214264;4.411612;201401161503+0100;665387
51.20498;4.3904986;201401161534+0100;666755
51.10156;4.042546;201401161554+0100;271163
51.036148;3.7359264;201401161604+0100;346
51.036304;3.7347112;201401161611+0100;19444195
51.214256;4.4116044;201401162154+0100;38643284
51.21632;4.3941555;201401170851+0100;14140863
51.20496;4.390575;201401171302+0100;538566
51.131355;4.103017;201401171323+0100;270507
51.05126;3.7190607;201401171349+0100;6144187
51.052483;3.7187438;201401171541+0100;319484
51.05281;3.8350694;201401171710+0100;22600
51.07502;3.9873729;201401171716+0100;23964
51.131607;4.1145587;201401171722+0100;23842
51.20722;4.3332763;201401171744+0100;244097
51.21933;4.401292;201401171956+0100;10170970
51.21424;4.411637;201401172249+0100;29605285
51.213146;4.4091487;201401180708+0100;311137
51.21425;4.4116073;201401180719+0100;52223823
51.20442;4.3888993;201401182158+0100;275003
51.10157;4.0425534;201401182208+0100;103106
51.06634;3.880816;201401182215+0100;5200
51.05715;3.7143528;201401182231+0100;237304
51.050644;3.7465987;201401182250+0100;246
51.051266;3.7477107;201401182257+0100;5835406
51.056988;3.7146137;201401190053+0100;2722044
51.057003;3.7146218;201401190144+0100;45664590
51.08227;4.0088897;201401191447+0100;102604
51.14334;4.1827917;201401191457+0100;65020
51.21417;4.411523;201401191517+0100;7455618
51.213146;4.4091773;201401191726+0100;227579
51.214252;4.411587;201401191737+0100;3387729
51.21768;4.408939;201401191842+0100;8851997
51.21501;4.4097414;201401192115+0100;180095
51.21425;4.4116316;201401192125+0100;35857419
51.216297;4.3941026;201401200732+0100;19641863
51.21283;4.3928213;201401201308+0100;63472
51.216278;4.3942356;201401201316+0100;13982748
51.21642;4.399754;201401201713+0100;83088
51.217506;4.4111123;201401201719+0100;606930
51.214256;4.4116044;201401201736+0100;51266039
51.19482;4.4179826;201401210812+0100;1041943
51.21044;4.4078217;201401210840+0100;59515
51.216305;4.394112;201401210856+0100;30306794
51.214252;4.4115915;201401211738+0100;12750781
51.21084;4.407013;201401212115+0100;238
51.213688;4.411061;201401212121+0100;79430
51.21426;4.4116173;201401212127+0100;38376618
51.21631;4.3941245;201401220817+0100;8703491
51.21357;4.393092;201401221046+0100;1244
51.21632;4.3941555;201401221100+0100;15426177
51.21425;4.4115734;201401221526+0100;23184010
51.213257;4.4051933;201401222203+0100;10157013
51.214237;4.4115844;201401230101+0100;22782122
51.213116;4.4092417;201401230725+0100;163067
51.214252;4.4115305;201401230732+0100;2282269
51.216293;4.394188;201401230822+0100;2927818
51.214275;4.4115763;201401230920+0100;1053748
51.21632;4.394155;201401230947+0100;30361687
51.214222;4.4115844;201401231822+0100;51321574
51.216312;4.3942127;201401240847+0100;34608847
51.214237;4.4115295;201401241833+0100;67538447
51.214264;4.4116073;201401251405+0100;15741025
51.216354;4.4072704;201401251833+0100;175137
51.214256;4.4115953;201401251848+0100;20675259
51.214256;4.4116707;201401260100+0100;39477333
51.214245;4.41158;201401261221+0100;69289220
51.216373;4.39417;201401270747+0100;12503562
51.212452;4.392544;201401271119+0100;423899
51.216328;4.3941903;201401271135+0100;19501265
51.214252;4.411451;201401271709+0100;401290
51.217274;4.410615;201401271721+0100;440617
51.214264;4.4116054;201401271735+0100;48812409
51.216274;4.3940477;201401280720+0100;36941619
51.214005;4.3987737;201401281745+0100;60176
51.214264;4.411625;201401281751+0100;4944373
51.214233;4.411606;201401281929+0100;9585262
51.21421;4.4114795;201401282226+0100;39673997
51.21632;4.394156;201401290936+0100;4859233
51.212673;4.3927093;201401291103+0100;360543
51.21632;4.3941555;201401291118+0100;21174082
51.21655;4.407615;201401291720+0100;258296
51.21752;4.411229;201401291732+0100;584104
51.214314;4.4115567;201401291750+0100;51365330
51.21632;4.3940663;201401300816+0100;35822844
51.216465;4.407458;201401301820+0100;339310
51.216705;4.407308;201401301832+0100;2065338
51.216015;4.4083133;201401301913+0100;4061991
51.213417;4.4108863;201401302025+0100;73979
51.21429;4.41157;201401302031+0100;41988411
51.216324;4.394122;201401311945+0100;1121288
51.219833;4.4147067;201401312015+0100;61028
51.214264;4.411591;201401312021+0100;49667599
51.214275;4.411566;201402011209+0100;21459663
51.21291;4.4089613;201402011813+0100;340116
51.214287;4.411578;201402011822+0100;1396226
51.214245;4.4115906;201402011852+0100;8310740
51.212948;4.4052463;201402012118+0100;268090
51.21342;4.4049335;201402012128+0100;63782
51.21323;4.405057;201402012135+0100;1612474
51.21536;4.402253;201402012207+0100;4688687
51.21059;4.39784;201402012335+0100;1500314
51.213287;4.3941884;201402020011+0100;2974322
51.214256;4.411582;201402020117+0100;607719
51.213142;4.4053507;201402020137+0100;5147037
51.214146;4.4100513;201402020308+0100;2333260
51.214268;4.4115934;201402020354+0100;26365927
51.206646;4.3914275;201402021125+0100;245527
51.20504;4.3908324;201402021134+0100;389954
51.017227;4.45117;201402021148+0100;124482
50.812744;4.379884;201402021211+0100;582262
50.812775;4.380983;201402021225+0100;581908
50.812916;4.381595;201402021241+0100;301250
50.812767;4.37999;201402021250+0100;549249
50.812992;4.3817124;201402021304+0100;422297
50.811398;4.3834558;201402021317+0100;6381953
50.81142;4.3834643;201402021509+0100;827990
50.81277;4.380989;201402021529+0100;155969
50.86111;4.436819;201402021552+0100;129605
50.91473;4.462785;201402021559+0100;63362
51.103256;4.434689;201402021608+0100;261605
51.20678;4.3913436;201402021622+0100;121604
51.21424;4.411622;201402021636+0100;55454478
51.215782;4.3992743;201402030811+0100;60674
51.216297;4.3941026;201402030822+0100;10091774
51.213875;4.3933086;201402031115+0100;60394
51.21632;4.3941555;201402031634+0100;10498596
